TIC,TOC
0.000000,0.418088
0.041733,0.460246
0.063192,0.480725
0.104883,0.501388
0.124890,0.543256
0.146055,0.563645
0.188255,0.605258
0.208817,0.626272
0.250816,0.647224
0.271837,0.689276
0.313314,0.709760
0.333714,0.750800
0.354481,0.772476
0.396755,0.813486
0.417775,0.834615
0.459016,0.876827
0.479860,0.896564
0.521472,0.938724
0.543221,0.960052
0.584187,1.001230
0.605446,1.022063
0.625278,1.042812
0.666776,1.084918
0.667739,1.043948
0.626402,1.021640
0.604702,1.001802
0.584357,0.960087
0.542162,0.939236
0.521180,0.918345
0.500377,0.876244
0.458593,0.855390
0.438585,0.835204
0.418061,0.793686
0.376519,0.751592
0.355138,0.730219
0.313201,0.709762
0.292126,0.668617
0.271750,0.647568
0.230624,0.627246
0.209500,0.584278
0.167653,0.564154
0.145824,0.543581
0.126170,0.521665
0.105299,0.480598
0.063091,0.459910
0.042062,0.417821
0.000474,0.397150
-0.020393,0.355260
-0.061443,0.335376
-0.082837,0.314333
-0.103257,0.272053
-0.145650,0.251141
-0.166313,0.251433
-0.145034,0.272510
-0.102813,0.313377
-0.082984,0.335315
-0.041219,0.376088
-0.020299,0.398003
0.021168,0.419080
0.043277,0.460327
0.084269,0.480499
0.105034,0.521894
0.146848,0.543785
0.168329,0.585327
0.209021,0.626457
0.228876,0.647621
0.250969,0.668124
0.292437,0.709972
0.313082,0.731013
0.354896,0.772868
0.375408,0.792562
0.396472,0.813590
0.437734,0.855643
0.458983,0.876260
0.500494,0.919015
0.521267,0.938839
0.563226,0.959883
0.583995,1.000976
0.604908,1.022436
0.626707,1.042829
0.666922,1.084369
0.688022,1.106600
0.729738,1.105561
0.688184,1.084792
0.667527,1.064240
0.646072,1.022250
0.604646,1.001403
0.584243,0.960147
0.542670,0.938924
0.521659,0.897773
0.479518,0.876244
0.459047,0.855751
0.438325,0.814629
0.397057,0.772377
0.354722,0.751873
0.334633,0.730569
0.312515,0.710114
0.293090,0.668791
0.251346,0.646939
0.231039,0.626576
0.208880,0.585239
0.167883,0.563833
0.146686,0.543026
0.126012,0.501971
0.084287,0.480448
0.063006,0.440043
0.021361,0.418084
0.001011,0.376759
-0.020717,0.355355
-0.062104,0.334436
-0.082429,0.293031
-0.103706,0.272554
-0.144884,0.251569
-0.166590,0.209692
-0.187052,0.188779
-0.227528,0.147106
-0.270236,0.126637
-0.290420,0.085174
-0.331916,0.064607
-0.353702,0.021977
-0.374648,0.001614
-0.416000,-0.039919
-0.437224,-0.061164
-0.478160,-0.102605
-0.497997,-0.123720
-0.540986,-0.144193
-0.562101,-0.165102
-0.581826,-0.206188
-0.624538,-0.248444
