type,peak
A,0.068614
C,0.068614
A,0.045756
C,0.045756
A,0.061173
C,0.061173
A,0.056970
C,0.056970
A,0.061048
C,0.061048
A,0.047685
C,0.047685
