type,peak
A,0.069451
C,0.069451
A,0.054496
C,0.054496
A,0.069378
C,0.069378
A,0.051941
C,0.051941
A,0.070347
C,0.070347
A,0.046782
C,0.046782
A,0.067167
C,0.067167
A,0.055100
C,0.055100
A,0.064793
C,0.064793
A,0.064161
C,0.064161
A,0.068076
C,0.068076
A,0.060968
C,0.060968
A,0.068764
C,0.068764
A,0.057027
C,0.057027
A,0.070547
C,0.070547
A,0.053520
C,0.053520
A,0.062308
C,0.062308
A,0.057789
C,0.057789
A,0.073992
C,0.073992
A,0.058173
C,0.058173
A,0.076216
C,0.076216
A,0.056755
C,0.056755
A,0.077460
C,0.077460
A,0.064653
C,0.064653
A,0.068136
C,0.068136
A,0.055286
C,0.055286
A,0.073390
C,0.073390
A,0.061430
C,0.061430
A,0.072784
C,0.072784
A,0.056191
C,0.056191
A,0.072356
C,0.072356
A,0.064174
C,0.064174
A,0.071026
C,0.071026
A,0.051306
C,0.051306
A,0.076197
C,0.076197
A,0.048815
C,0.048815
A,0.076453
C,0.076453
A,0.045454
C,0.045454
A,0.071298
C,0.071298
