type,peak
A,0.076784
C,0.076784
A,0.072025
C,0.072025
A,0.057495
C,0.057495
A,0.076878
C,0.076878
A,0.082326
C,0.082326
A,0.067881
C,0.067881
A,0.069289
C,0.069289
A,0.080457
C,0.080457
A,0.073606
C,0.073606
A,0.066543
C,0.066543
A,0.074721
C,0.073197
A,0.092397
C,0.092397
A,0.083319
C,0.083319
A,0.059345
C,0.059345
A,0.076805
C,0.076805
A,0.087056
C,0.087056
A,0.064711
C,0.064711
A,0.062758
C,0.062758
A,0.070138
C,0.070138
A,0.086774
C,0.086774
A,0.075685
C,0.075685
A,0.072048
C,0.072048
A,0.066968
C,0.066968
A,0.082525
C,0.082525
A,0.082553
C,0.082553
A,0.071322
C,0.071322
A,0.082235
C,0.082235
A,0.061644
C,0.061644
A,0.064220
C,0.064220
A,0.064266
C,0.064266
A,0.068072
C,0.068072
A,0.080093
C,0.080093
A,0.068630
C,0.068630
A,0.079288
C,0.079288
A,0.076929
C,0.076929
A,0.065284
C,0.065284
A,0.071811
C,0.071811
A,0.059201
C,0.059201
A,0.072748
C,0.072748
A,0.086107
C,0.086107
A,0.075226
C,0.075226
A,0.071384
C,0.071384
A,0.077218
C,0.077218
A,0.069824
C,0.069824
A,0.067509
C,0.067509
A,0.070123
C,0.070123
A,0.079437
C,0.079437
A,0.076455
C,0.076455
A,0.066638
C,0.066638
A,0.055646
C,0.055646
A,0.073661
C,0.073661
A,0.064826
C,0.064826
A,0.068933
C,0.068933
A,0.071306
C,0.071306
A,0.072634
C,0.072634
A,0.086600
C,0.086600
A,0.083258
C,0.083258
A,0.064467
C,0.064467
A,0.077804
C,0.077804
A,0.062396
C,0.062396
A,0.069766
C,0.069766
A,0.062582
C,0.062582
A,0.070418
C,0.070418
A,0.080073
C,0.080073
A,0.066911
C,0.066911
A,0.067998
C,0.067998
A,0.074502
C,0.074502
A,0.060869
C,0.060869
A,0.069612
C,0.069612
A,0.079214
C,0.079214
A,0.067101
C,0.067101
A,0.074464
C,0.074464
A,0.067897
C,0.067897
A,0.077404
C,0.077404
A,0.074712
C,0.074712
A,0.064953
C,0.064953
A,0.076166
C,0.076166
A,0.068176
C,0.068176
A,0.076300
C,0.076300
A,0.068608
C,0.068608
A,0.087361
C,0.087361
A,0.062311
C,0.062311
A,0.076373
C,0.076373
A,0.083292
C,0.083292
A,0.071297
C,0.071297
