type,peak
A,0.036556
C,0.036556
A,0.027628
C,0.027628
A,0.038126
C,0.038126
A,0.029891
C,0.029891
A,0.033959
C,0.033959
A,0.030855
C,0.030855
A,0.030310
C,0.030310
A,0.031734
C,0.031734
A,0.035136
C,0.035136
A,0.029562
C,0.029562
A,0.029153
C,0.029153
A,0.032752
C,0.032752
A,0.030265
C,0.030265
A,0.029778
C,0.029778
A,0.033869
C,0.033869
A,0.025493
C,0.025493
A,0.029372
C,0.029372
A,0.027698
C,0.027698
A,0.038273
C,0.038273
A,0.031786
C,0.031786
A,0.041050
C,0.041050
A,0.031772
C,0.031772
A,0.033708
C,0.033708
A,0.029882
C,0.029882
A,0.029040
C,0.029040
A,0.034945
C,0.034945
A,0.034144
C,0.034144
A,0.031718
C,0.031718
A,0.036857
C,0.036857
A,0.032064
C,0.032064
A,0.033596
C,0.033596
A,0.036331
C,0.036331
A,0.033981
C,0.033981
A,0.027981
C,0.027981
A,0.033410
C,0.033410
A,0.035569
C,0.035569
A,0.027659
C,0.027659
A,0.037153
C,0.037153
A,0.036880
C,0.036880
A,0.031423
C,0.031423
A,0.033435
C,0.033435
A,0.028378
C,0.028378
