type,peak
A,0.085686
C,0.085686
A,0.087522
C,0.087522
A,0.085450
C,0.085450
A,0.088473
C,0.088473
A,0.091966
C,0.091966
A,0.081205
C,0.081205
A,0.085562
C,0.085562
A,0.085941
C,0.085941
A,0.080861
C,0.080861
A,0.092684
C,0.089363
A,0.086981
C,0.086981
A,0.083255
C,0.083255
A,0.085567
C,0.085567
A,0.086338
C,0.086338
A,0.088814
C,0.088814
A,0.084589
C,0.084589
A,0.084234
C,0.084234
A,0.077755
C,0.077755
A,0.083718
C,0.083718
A,0.094811
C,0.094811
A,0.083996
C,0.083996
A,0.087953
C,0.087953
A,0.089333
C,0.089333
A,0.084877
C,0.084877
A,0.089187
C,0.089187
A,0.088255
C,0.088255
A,0.089867
C,0.089867
A,0.090337
C,0.090337
A,0.080386
C,0.080386
A,0.086971
C,0.086971
A,0.081448
C,0.081448
A,0.084337
C,0.084337
A,0.074779
C,0.074779
