type,peak
A,0.018862
C,0.018862
A,0.014292
C,0.014292
A,0.013005
C,0.013005
A,0.008160
C,0.008160
A,0.017471
C,0.017471
A,0.006464
C,0.006464
A,0.014235
C,0.014235
A,0.007812
C,0.007812
A,0.012490
C,0.012490
A,0.010458
C,0.010458
A,0.012101
C,0.012101
A,0.008035
C,0.008035
A,0.012639
C,0.012639
A,0.009787
C,0.009787
A,0.014168
C,0.014168
A,0.009036
C,0.009036
A,0.013228
C,0.013228
A,0.009245
C,0.009245
A,0.012477
C,0.012477
A,0.007737
C,0.007737
A,0.012456
C,0.012456
A,0.009726
C,0.009726
A,0.011514
C,0.011514
A,0.009080
C,0.009080
A,0.009960
C,0.009960
A,0.007127
C,0.007127
A,0.003202
C,0.000631
