type,peak
A,0.068621
C,0.068621
A,0.074897
C,0.074897
A,0.065517
C,0.065517
A,0.070079
C,0.070079
A,0.072970
C,0.072970
A,0.073799
C,0.073799
A,0.064113
C,0.064113
A,0.063552
C,0.063552
A,0.051028
C,0.051028
A,0.065382
C,0.065382
A,0.068674
C,0.068674
A,0.063848
C,0.063848
A,0.073475
C,0.073475
A,0.072468
C,0.072468
A,0.060496
C,0.060496
A,0.060917
C,0.060917
A,0.069166
C,0.069166
A,0.063031
C,0.063031
A,0.072915
C,0.072915
A,0.072848
C,0.072848
A,0.041810
C,0.041810
A,0.072617
C,0.072617
A,0.060316
C,0.060316
A,0.065742
C,0.065742
A,0.060862
C,0.060862
A,0.058472
C,0.058472
A,0.049709
C,0.049709
A,0.052897
C,0.052897
A,0.063671
C,0.063671
A,0.067927
C,0.067927
A,0.060515
C,0.060515
A,0.062063
C,0.062063
A,0.069342
C,0.069342
A,0.066023
C,0.066023
A,0.068283
C,0.068283
A,0.061879
C,0.061879
A,0.059020
C,0.059020
A,0.065402
C,0.065402
A,0.059551
C,0.059551
A,0.076667
C,0.076667
A,0.066055
C,0.066055
A,0.064692
C,0.064692
A,0.059849
C,0.059849
A,0.054595
C,0.054595
A,0.052152
C,0.052152
A,0.070342
C,0.070342
A,0.075725
C,0.075725
A,0.062490
C,0.062490
A,0.060114
C,0.060114
A,0.061731
C,0.061731
A,0.071704
C,0.071704
A,0.061107
C,0.061107
A,0.063081
C,0.063081
A,0.058249
C,0.058249
A,0.065568
C,0.065568
A,0.061017
C,0.061017
A,0.054831
C,0.054831
A,0.065875
C,0.065875
A,0.053600
C,0.053600
A,0.052842
C,0.052842
A,0.057019
C,0.057019
A,0.075537
C,0.075537
A,0.070830
C,0.070830
A,0.061575
C,0.061575
A,0.067960
C,0.067960
A,0.060589
C,0.060589
A,0.061939
C,0.061939
A,0.059325
C,0.059325
A,0.064886
C,0.064886
A,0.057106
C,0.057106
A,0.067069
C,0.067069
A,0.055515
C,0.055515
A,0.057564
C,0.057564
A,0.067547
C,0.067547
A,0.070287
C,0.070287
A,0.062598
C,0.062598
A,0.065991
C,0.065991
A,0.061556
C,0.061556
A,0.064488
C,0.064488
A,0.072006
C,0.072006
A,0.063776
C,0.063776
A,0.072419
C,0.072419
A,0.064660
C,0.064660
A,0.069738
C,0.069738
A,0.043390
C,0.043390
A,0.070351
C,0.070351
A,0.066943
C,0.066943
A,0.062319
C,0.062319
A,0.054558
C,0.054558
A,0.060606
C,0.060606
A,0.056709
C,0.056709
A,0.061791
C,0.061791
A,0.061861
C,0.061861
A,0.059506
C,0.059506
A,0.070165
C,0.070165
A,0.067988
C,0.067988
A,0.055112
C,0.055112
A,0.062276
C,0.062276
A,0.069203
C,0.069203
A,0.065641
C,0.065641
A,0.069804
C,0.069804
A,0.075009
C,0.075009
A,0.071722
C,0.071722
A,0.052733
C,0.052733
A,0.071303
C,0.071303
A,0.071269
C,0.071269
A,0.071535
C,0.071535
A,0.063852
C,0.063852
A,0.073427
C,0.073427
A,0.070699
C,0.070699
A,0.068975
C,0.068975
A,0.060330
C,0.060330
A,0.064201
C,0.064201
A,0.065174
C,0.065174
A,0.069092
C,0.069092
A,0.068535
C,0.068535
A,0.067050
C,0.067050
