type,peak
A,0.021714
C,0.021714
A,0.022466
C,0.022466
A,0.021782
C,0.021782
A,0.027992
C,0.027992
A,0.024329
C,0.024329
A,0.035611
C,0.035611
A,0.026242
C,0.026242
A,0.024340
C,0.024340
A,0.021122
C,0.021122
A,0.025416
C,0.025416
A,0.020844
C,0.020844
A,0.027229
C,0.027229
A,0.018753
C,0.018753
A,0.032143
C,0.032143
A,0.020130
C,0.020130
A,0.021250
C,0.021250
A,0.021362
C,0.021362
A,0.032165
C,0.032165
A,0.019399
C,0.019399
A,0.022019
C,0.022019
A,0.021819
C,0.021819
A,0.028659
C,0.028659
A,0.026140
C,0.026140
A,0.027424
C,0.027424
A,0.023394
C,0.023394
A,0.031076
C,0.031076
A,0.020721
C,0.020721
A,0.021328
C,0.021328
A,0.018461
C,0.018461
A,0.028664
C,0.028664
A,0.024650
C,0.024650
A,0.035570
C,0.035570
A,0.022322
C,0.022322
A,0.039186
C,0.039186
A,0.021250
C,0.021250
